X,Y,Z,Polar,Azimuth,Elevation,Frequency,Magnitude,Phase
-130.0,-169.999,0.0,0.0,-180.0,-180.0,8000000000.0,8.815308217844342e-05,158.8754601197177
-130.0,-169.999,0.0,0.0,-180.0,-180.0,8200000000.0,8.875984729338486e-05,-12.520724374447413
-130.0,-169.999,0.0,0.0,-180.0,-180.0,8400000000.0,0.00010113620323050606,179.28370905679012
-130.0,-169.999,0.0,0.0,-180.0,-180.0,8600000000.0,9.878974900859804e-05,35.347242912811545
-130.0,-169.999,0.0,0.0,-180.0,-180.0,8800000000.0,7.807810331234295e-05,-136.25393921491758
-130.0,-169.999,0.0,0.0,-180.0,-180.0,9000000000.0,8.538677230679001e-05,79.93830147002589
-130.0,-169.999,0.0,0.0,-180.0,-180.0,9200000000.0,7.869600818193577e-05,-70.82144044464845
-130.0,-169.999,0.0,0.0,-180.0,-180.0,9400000000.0,6.992084743056965e-05,121.26022221411965
-130.0,-169.999,0.0,0.0,-180.0,-180.0,9600000000.0,7.625332898369027e-05,-26.01922170380666
-130.0,-169.999,0.0,0.0,-180.0,-180.0,9800000000.0,6.481426247227534e-05,-164.15629535257855
-130.0,-169.999,0.0,0.0,-180.0,-180.0,10000000000.0,6.233219907257003e-05,44.61103378703718
-130.0,-169.999,0.0,0.0,-180.0,-180.0,10200000000.0,6.989267048324095e-05,-98.77435285178616
-130.0,-169.999,0.0,0.0,-180.0,-180.0,10400000000.0,5.400363136340463e-05,117.89726386056786
-130.0,-169.999,0.0,0.0,-180.0,-180.0,10600000000.0,6.868027274055411e-05,-28.0108047456656
-130.0,-169.999,0.0,0.0,-180.0,-180.0,10800000000.0,8.38760589965325e-05,-159.51884717879935
-130.0,-169.999,0.0,0.0,-180.0,-180.0,11000000000.0,9.184833621694025e-05,39.3405359550737
-130.0,-169.999,0.0,0.0,-180.0,-180.0,11200000000.0,0.00010293076134053659,-132.43513055365315
-130.0,-169.999,0.0,0.0,-180.0,-180.0,11400000000.0,8.959110888206374e-05,82.40614648988046
-130.0,-169.999,0.0,0.0,-180.0,-180.0,11600000000.0,7.189819468647387e-05,-65.96382021874527
-130.0,-169.999,0.0,0.0,-180.0,-180.0,11800000000.0,6.296008011405323e-05,147.32860336476227
-130.0,-169.999,0.0,0.0,-180.0,-180.0,12000000000.0,5.826363365433536e-05,11.592189489728062
-130.0,-169.999,0.0,0.0,-180.0,-170.0,8000000000.0,8.023129564357414e-05,150.2427967229759
-130.0,-169.999,0.0,0.0,-180.0,-170.0,8200000000.0,7.827707418206751e-05,-22.444536887095623
-130.0,-169.999,0.0,0.0,-180.0,-170.0,8400000000.0,8.599158772749633e-05,167.94881558326932
-130.0,-169.999,0.0,0.0,-180.0,-170.0,8600000000.0,8.520481107865447e-05,26.169963950493965
-130.0,-169.999,0.0,0.0,-180.0,-170.0,8800000000.0,6.728676127272065e-05,-146.1268971214724
-130.0,-169.999,0.0,0.0,-180.0,-170.0,9000000000.0,7.420327545443934e-05,70.95776910818634
-130.0,-169.999,0.0,0.0,-180.0,-170.0,9200000000.0,6.722242872881714e-05,-81.10224989110192
-130.0,-169.999,0.0,0.0,-180.0,-170.0,9400000000.0,6.0118788924195736e-05,110.70248641060438
-130.0,-169.999,0.0,0.0,-180.0,-170.0,9600000000.0,6.473503253241633e-05,-37.748012524137074
-130.0,-169.999,0.0,0.0,-180.0,-170.0,9800000000.0,5.504784676225276e-05,-174.94887219135893
-130.0,-169.999,0.0,0.0,-180.0,-170.0,10000000000.0,5.315061516113807e-05,31.952871981249444
-130.0,-169.999,0.0,0.0,-180.0,-170.0,10200000000.0,5.969202353360958e-05,-108.92315767608804
-130.0,-169.999,0.0,0.0,-180.0,-170.0,10400000000.0,4.5411002032117716e-05,109.37474706692524
-130.0,-169.999,0.0,0.0,-180.0,-170.0,10600000000.0,5.438550095763117e-05,-38.48293228004579
-130.0,-169.999,0.0,0.0,-180.0,-170.0,10800000000.0,6.654191484987326e-05,-172.98707166478803
-130.0,-169.999,0.0,0.0,-180.0,-170.0,11000000000.0,7.550384270388429e-05,26.806157993281378
-130.0,-169.999,0.0,0.0,-180.0,-170.0,11200000000.0,8.604144233481211e-05,-141.2958700744195
-130.0,-169.999,0.0,0.0,-180.0,-170.0,11400000000.0,7.22008672070613e-05,72.55820200353651
-130.0,-169.999,0.0,0.0,-180.0,-170.0,11600000000.0,5.725466731459104e-05,-78.99282865633553
-130.0,-169.999,0.0,0.0,-180.0,-170.0,11800000000.0,5.032508482810238e-05,136.39744052981567
-130.0,-169.999,0.0,0.0,-180.0,-170.0,12000000000.0,4.383182525744617e-05,1.8377611597696208
-130.0,-169.999,0.0,0.0,-180.0,-160.0,8000000000.0,6.347209248551995e-05,136.01821862996445
-130.0,-169.999,0.0,0.0,-180.0,-160.0,8200000000.0,5.934811803625958e-05,-33.57221333880871
-130.0,-169.999,0.0,0.0,-180.0,-160.0,8400000000.0,6.582848780371307e-05,156.96353418023725
-130.0,-169.999,0.0,0.0,-180.0,-160.0,8600000000.0,6.493941730282464e-05,17.970442634541484
-130.0,-169.999,0.0,0.0,-180.0,-160.0,8800000000.0,5.030139452972353e-05,-156.42384455883678
-130.0,-169.999,0.0,0.0,-180.0,-160.0,9000000000.0,5.717054300780079e-05,58.69402945701606
-130.0,-169.999,0.0,0.0,-180.0,-160.0,9200000000.0,5.105512386188243e-05,-90.80138233790814
-130.0,-169.999,0.0,0.0,-180.0,-160.0,9400000000.0,4.6206317568728636e-05,99.72475202036824
-130.0,-169.999,0.0,0.0,-180.0,-160.0,9600000000.0,4.735080924152406e-05,-48.823345133930815
-130.0,-169.999,0.0,0.0,-180.0,-160.0,9800000000.0,4.0259408489893694e-05,176.233065338448
-130.0,-169.999,0.0,0.0,-180.0,-160.0,10000000000.0,3.7759909578870816e-05,22.376872479610054
-130.0,-169.999,0.0,0.0,-180.0,-160.0,10200000000.0,4.314953163695986e-05,-119.71889680029251
-130.0,-169.999,0.0,0.0,-180.0,-160.0,10400000000.0,3.352643138005864e-05,102.16612523229955
-130.0,-169.999,0.0,0.0,-180.0,-160.0,10600000000.0,3.926406231743348e-05,-45.16108077115605
-130.0,-169.999,0.0,0.0,-180.0,-160.0,10800000000.0,4.775160407679621e-05,179.30687347504357
-130.0,-169.999,0.0,0.0,-180.0,-160.0,11000000000.0,5.5882934379826554e-05,19.609884575255183
-130.0,-169.999,0.0,0.0,-180.0,-160.0,11200000000.0,6.282137933404917e-05,-147.91746325563602
-130.0,-169.999,0.0,0.0,-180.0,-160.0,11400000000.0,5.4011389022232154e-05,65.68078452450821
-130.0,-169.999,0.0,0.0,-180.0,-160.0,11600000000.0,4.1923767327475185e-05,-84.30842483093214
-130.0,-169.999,0.0,0.0,-180.0,-160.0,11800000000.0,3.636292382849597e-05,129.82914882144635
-130.0,-169.999,0.0,0.0,-180.0,-160.0,12000000000.0,3.235767527993479e-05,-1.1620895125082393
-130.0,-169.999,0.0,0.0,-180.0,-150.0,8000000000.0,4.7027211730045194e-05,129.4658792258067
-130.0,-169.999,0.0,0.0,-180.0,-150.0,8200000000.0,4.1789387377520865e-05,-37.63000847740834
-130.0,-169.999,0.0,0.0,-180.0,-150.0,8400000000.0,4.78818367430177e-05,151.1158514796448
-130.0,-169.999,0.0,0.0,-180.0,-150.0,8600000000.0,4.863000028523134e-05,15.49033834614235
-130.0,-169.999,0.0,0.0,-180.0,-150.0,8800000000.0,3.725296846471432e-05,-163.04750925303992
-130.0,-169.999,0.0,0.0,-180.0,-150.0,9000000000.0,4.578176694855715e-05,54.041736804622964
-130.0,-169.999,0.0,0.0,-180.0,-150.0,9200000000.0,3.777923380155061e-05,-93.68746332433507
-130.0,-169.999,0.0,0.0,-180.0,-150.0,9400000000.0,3.4426227665819335e-05,92.73755173943123
-130.0,-169.999,0.0,0.0,-180.0,-150.0,9600000000.0,3.615772343460246e-05,-54.412435312032834
